N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
63,맥쿼리인프라,"11,250",150,-1.32%,0,"39,267","349,044",19.46,"520,458",N/A,N/A,
64,현대제철,"28,200",300,-1.05%,"5,000","37,632","133,446",18.80,"1,156,067",-17.74,0.10,
65,한미약품,"317,500","4,000",-1.24%,"2,500","37,602","11,843",15.08,"106,717",80.16,7.30,
66,에스원,"94,600",200,-0.21%,500,"35,947","37,999",55.95,"23,174",24.89,11.32,
67,삼성중공업,"5,670",10,+0.18%,"5,000","35,721","630,000",15.79,"2,628,214",-2.49,-21.88,
68,한국금융지주,"64,000",100,+0.16%,"5,000","35,665","55,726",33.68,"267,789",8.32,18.14,
69,CJ대한통운,"155,000","2,000",-1.27%,"5,000","35,359","22,812",20.42,"64,097",50.15,1.41,
70,DB손해보험,"49,850",400,+0.81%,500,"35,294","70,800",39.81,"562,676",7.71,6.92,
71,이마트,"125,000",500,-0.40%,"5,000","34,845","27,876",29.99,"262,577",16.22,2.76,
72,삼성카드,"29,950",250,+0.84%,"5,000","34,700","115,859",9.73,"216,462",10.33,5.04,
73,롯데지주,"33,000",750,+2.33%,200,"34,620","104,909",11.68,"245,579",-6.46,-5.21,
74,대한항공,"19,800",250,+1.28%,"5,000","34,494","174,210",12.28,"2,705,588",-1.77,-22.09,
75,녹십자,"292,500","2,500",-0.85%,"5,000","34,183","11,687",18.14,"148,342",-264.47,-0.35,
76,SKC,"89,800","1,200",-1.32%,"5,000","33,706","37,535",8.26,"581,038",28.12,3.86,
77,GS,"36,250",100,+0.28%,"5,000","33,682","92,915",21.32,"304,870",70.25,6.26,
78,현대차2우B,"89,200",300,+0.34%,"5,000","32,545","36,485",62.31,"181,506",9.45,N/A,
79,하이트진로,"45,000",50,+0.11%,"5,000","31,560","70,134",10.45,"359,352",652.17,-3.86,
80,호텔신라,"79,000","1,700",+2.20%,"5,000","31,006","39,248",21.92,"1,358,110",71.43,20.16,
81,LG화학우,"402,500","2,500",+0.63%,"5,000","30,947","7,689",56.08,"79,321",225.11,N/A,
82,대림산업,"88,200",200,+0.23%,"5,000","30,694","34,800",40.55,"140,076",5.30,11.74,
83,더존비즈온,"101,500","1,500",-1.46%,500,"30,118","29,673",45.88,"47,227",62.89,18.78,
84,금호석유,"98,800","2,600",+2.70%,"5,000","30,102","30,468",32.75,"205,025",10.74,11.84,
85,삼성증권,"32,800",200,-0.61%,"5,000","29,290","89,300",24.59,"455,118",10.10,8.15,
86,두산밥캣,"28,750",700,-2.38%,500,"28,822","100,249",23.12,"320,862",12.15,7.05,
87,쌍용양회,"5,630",40,-0.71%,"1,000","28,367","503,860",3.01,"1,227,737",20.70,7.02,
88,TIGER 200,"32,495",235,+0.73%,0,"28,352","87,250",6.95,"1,037,988",N/A,N/A,
89,NH투자증권,"9,750",0,0.00%,"5,000","27,437","281,409",13.34,"1,296,662",8.70,9.12,
90,대우조선해양,"25,150",350,-1.37%,"5,000","26,962","107,206",9.69,"385,249","3,143.75",-1.22,
91,GS리테일,"35,000",50,+0.14%,"1,000","26,950","77,000",17.47,"194,675",14.94,6.25,
92,CJ,"91,600",500,+0.55%,"5,000","26,726","29,177",18.82,"176,081",8.80,6.24,
